author_name,total_books,total_sales,average_rating
Kanehito Yamada,2,8,5.0
Kangaroo Mother,1,103,0.0
Kaoru Fukaya,2,14,0.0
Karen Kwek,4,8,0.0
Katarína Macurová,1,1,0.0
Katherine Johnson Martinko,2,28,0.0
Kathi Wagner,1,0,0.0
Kathi Wagner - Sheryl Racine,1,2,0.0
Kathiann M Kowalski,1,0,0.0
Kathleen Kampa,1,0,0.0
Katie Button,1,39,4.6
Katie Clemons,1,32,5.0
Katsunori Ishida,1,65,5.0
Kawa,2,2,0.0
Kawo Tanuki,1,3,0.0
Kayoko Ito,1,22,5.0
Kazue Kato,1,3,0.0
Kazuhiko Toyota,1,17,5.0
Kazuhiro Fujita,3,425,1.6666666666666667
Kazuko Asou,1,2,0.0
Kazuo Inamori,1,90,5.0
Kazuya Minekura,1,112,5.0
Kei Urana,3,413,5.0
Keigo Shinzo,5,442,5.0
Ken Spillman - James Tan,5,1165,3.5
Ken Wakui,1,1000,4.8
Kenji Minoura,1,0,0.0
Kenvin Kang,1,6,0.0
Keun-Ah Cheon,1,0,0.0
Kevin Kang,1,9,0.0
Kevin Nguyễn,1,1,0.0
Khuyển Nhất,1,209,5.0
Khánh Nguyên,1,6,5.0
Khánh Ngọc,3,185,1.5999999999999999
Khánh Tuệ,5,762,5.0
Khánh Vân,9,72,1.0
Khâu Luật Thương,1,6,0.0
Kiichi Hotta,1,70,5.0
Kiki,1,64,5.0
Kim Geon Oh,3,109,1.6666666666666667
Kim Jong Won,1,0,0.0
Kim Jung Jin,10,29,0.5
Kim Khánh,1,0,0.0
Kim Thư,1,4,5.0
Kingfisher,1,0,0.0
Kisetsu Morita,1,604,5.0
Kishimi Ichiro,3,118,1.5
Kiyomi Sugishita,1,39,0.0
Ko Nikaido,1,23,5.0
Ko SHICHIDA,2,0,0.0
Kohei Horikoshi,9,1346,3.8666666666666663
Konomi Wagata,2,55,5.0
Kosaku Anakubo,6,106,2.6666666666666665
Koso Tokiko,1,0,0.0
Kosuke Satake,2,65,2.5
Koterri!,1,3,0.0
Kotteri,2,328,2.5
Kotteri!,1,46,5.0
Koyoharu Gotouge,9,1044,3.3333333333333335
Kozueko Morimoto,4,147,1.25
Kubota Kayoko,4,39,1.25
Kubota Kisou,12,4209,2.0500000000000003
Kwon Gi Gyun,1,7,0.0
Kyoko Hikawa,1,40,5.0
Kyowon,10,49,2.0
Kỷ Kinh,1,24,5.0
LIAT HUGHES JOSHI,2,13,2.5
Lama Zopa Rinpoche,2,17,0.0
Lan Phương,2,4,0.0
Lant Tiểu Tranh,1,0,0.0
Laura Duksta,1,4,0.0
Laura Kuksta,1,103,5.0
Laura Ling Rebecca - Eanes,1,2,0.0
Laura Linn Knight,3,17,0.0
Laura Numeroff,1,124,5.0
Laura Wall,1,58,5.0
Laurent Gaulet,1,3,0.0
Laurie Wright,3,5,0.0
Lee Im-Sook,1,21,5.0
Lewis Carroll,1,2,0.0
Li Zheng,1,131,4.3
Liao Heng,1,2,0.0
Liesbet Slegers,1,0,0.0
Lin Ju,1,0,0.0
Lincoln Peirce,1,0,0.0
Ling Long,1,1,0.0
Linh Lan,1,123,4.8
Linh Nhi,1,16,5.0
Linh Phan,1,0,0.0
Linh Rab,1,58,4.8
Little Angel,1,1,0.0
Little Stars,6,2,0.0
Liu Xuan,1,103,4.8
Liu Yong,2,145,4.9
Liêm Đông Tinh,4,18,0.0
Lou Yijun,2,1,0.0
Louie Stowell,2,1000,2.5
Louis Ben,2,1,0.0
Louis Weinstock,1,43,0.0
Louise Baty,2,18,0.0
Lozoo,2,3,0.0
Lyman Frank Baum,1,52,5.0
Lynne Benton,1,2,0.0
Lâm Anh Đào,1,1,0.0
Lâm Kim Dung,4,4,0.0
Lâm Tú Uyển,2,7,0.0
Lâm Tĩnh,1,164,4.7
Lâm Từ,1,2,0.0
Lê Hiền,1,1,0.0
Lê Hồng Đăng - Lê Thị Ngọc Ánh,3,67,2.766666666666667
Lê Kim Huệ,1,0,0.0
Lê Linh,7,1628,4.8428571428571425
Lê Minh Hải,1,11,5.0
Lê Nhất Phương Hồng,1,43,5.0
Lê Phi Hùng,1,1,5.0
Lê Phương Liên,1,2,0.0
Lê Thu Ngọc,5,2010,4.74
Lê Tuệ Minh,2,44,2.5
Lê Văn Nghĩa,1,189,4.8
Lê Văn Năm,2,368,5.0
Lê Đức Dương,1,0,0.0
Lô Cần,2,0,0.0
Lô Cẩn; Phạm Thị Anh Đào dịch,3,0,0.0
Lý Huy,1,16,0.0
Lý Lan,1,0,0.0
Lý Minh Phúc,1,3,0.0
Lý Tuyết Minh - Nguyễn Thị Thu Hằng,1,1,0.0
Lý Vĩ,1,0,0.0
Lư Phụng Anh,2,0,0.0
Lư Tô Vỹ,3,345,3.3333333333333335
Lưu Dung,3,9,0.0
Lưu Hạc,2,22,0.0
Lưu Kim Song,1,3,0.0
Lưu Kính Dư,2,114,2.3
Lưu Lật,1,0,0.0
Lưu Quang Vũ,1,20,5.0
Lưu Tuấn Anh,1,0,0.0
Lương Chân Mai,1,0,0.0
Lương Hạnh,1,0,0.0
Lương Minh Quang,1,11,0.0
Lạc Phàm,14,570,4.642857142857143
Lạc Tư Tư,1,92,5.0
Lỗ Bằng Trình,5,44,1.94
Lời: Sue Graves,1,0,0.0
Lời: Thành Đạt; Minh họa: Tuyết Hoàng,1,2,0.0
Lỹ Tĩnh,1,0,0.0
MIKI KANO,4,45,1.25
Ma Vĩ,1,2000,5.0
MacMillan Children's Books,1,0,0.0
Madeleine Deny,3,9,0.0
Madeline Tyler,1,15,0.0
Mai Hương,5,82,4.0
"Mai Hương (Sưu tầm, Biên soạn)",2,23,2.5
"Mai Ngọc (Sưu tầm, biên soạn)",6,0,0.0
Mai Thị Việt Thắng,8,18,0.0
Maja Pitamic,1,0,0.0
Maki Eto,1,1,0.0
Makiko Nakamuro,1,10,0.0
Makoto Horikawa,1,13,4.0
Makoto Morishita,1,0,0.0
Makoto OJIRO,1,21,5.0
Makoto Shichida,2,0,0.0
Mami Tsumura,2,550,4.75
Mandara Publishing Team,1,19,5.0
Many Authors,1,0,0.0
Marco Campanella,2,28,2.5
Margalis Fjelstad,2,70,0.0
Marguerite Abouet,1,15,0.0
Maria Metlitskaya,1,0,0.0
Maria Montessori,1,1,0.0
Marie-Hélène Place,2,2086,4.75
Marie-Hélène Place - Ève Herrmann,1,260,4.8
Marimo Ragawa,2,187,2.5
Marissa Garcia Soria,3,35,1.0
Mark Twain,4,4,1.25
Mary Nhin,5,16,0.0
Masaaki Yatagai,5,466,0.9
Masami Sasaki,3,13,1.3333333333333333
"Masami Sasaki, Wakamatsu Aki",1,0,0.0
Masashi Kishimoto,9,144,2.066666666666667
Masato Takeuchi,2,2,0.0
Masato Tanaka,1,60,5.0
Matt Turner,2,14,2.5
Matthew Rake,1,9,5.0
Mayumi Muroyama,1,35,0.0
Meg Meeker,4,62,1.25
Megan Sussman,1,32,5.0
Meghan Vestal,1,31,0.0
Megumi Morino,1,456,5.0
Michael Hawton,2,31,0.0
Michaeleen Doucleff,1,189,5.0
Michiaki Tanaka,4,113,3.75
Michiaki Tanaka - Fujiko F. Fujio,1,3,0.0
"Mickaël Brun-arnaud , Sanoe",1,0,0.0
Miew,1,21,0.0
Mika Wakuda,1,4,5.0
Mike Goldsmith,1,18,4.2
Mike Rampton,1,0,0.0
Miku Ito,2,3000,2.4
"Miku Ito, Makiko Sato",1,0,0.0
Milan Bataveljic,1,0,0.0
MiloKids,2,18,2.5
Min Hye Yong,1,37,0.0
