author_name,total_books,total_sales,average_rating
Karen Haller,1,60,4.8
"Masato Tanaka, Tetsuya Saito",1,60,5.0
Paul Nurse,1,60,5.0
Phan,2,60,2.5
Soái Kiện Tường,2,60,2.25
Trí Việt,1,60,5.0
"Võ Quảng, Chu Linh Hoàng",1,60,5.0
"Chin-Ning Chu, Jessica Honegger",1,59,4.0
Khái Hưng,3,59,1.6666666666666667
Piccole Grandi,2,59,4.85
"Tim Clark,  Yves Pigneur,  Bruce Hazen",1,59,5.0
Akehashi Daiji,3,58,1.5333333333333332
Eckhart Tolle,7,58,1.157142857142857
Hironori Nakagawa,1,58,5.0
Laura Wall,1,58,5.0
Linh Rab,1,58,4.8
Stuart J.Murphy,2,58,2.5
Yoshihiko Morotomi,2,58,4.85
ZAKK,1,58,5.0
Anno Mitsumasa,1,57,5.0
Ayn Rand,1,57,5.0
Fyodor Dostoevsky,1,57,4.8
John Green,1,57,5.0
Lưu Trọng Văn,1,57,5.0
Phạm Ngọc Điệp và cộng sự,3,57,1.6666666666666667
Triệu Văn Minh,2,57,2.5
"Alexander Osterwalder, Yves P",2,56,2.5
Fir Forest,1,56,5.0
Hector Malot,2,56,2.5
MarkTwain,1,56,4.8
"Peter Thiel - Blake Masters, Peter Thiel",1,56,5.0
Định Hải,1,56,5.0
Hayashi Fumiko,1,55,5.0
Jenny Jocoby,2,55,2.5
Konomi Wagata,2,55,5.0
"Lạc Phàm, Lưu Già Tịch",1,55,5.0
Anne O’Daly,1,54,5.0
Chris Hadfield,1,54,0.0
"DK, Ian Ridpath",1,54,5.0
Diệu Hoa,3,54,1.6666666666666667
Nguyễn Khắc Cường,3,54,1.6666666666666667
H. Stephen Glenn,2,53,2.5
Nguyễn Du,3,53,3.266666666666667
Rosie Nguyễn,2,53,2.5
Sarah Rebar,2,53,2.5
Yoshihiro Togashi,1,53,5.0
Daisuke Aizawa,2,52,4.65
"Kevin Harrington, Mark Timm",3,52,1.6666666666666667
Lyman Frank Baum,1,52,5.0
1980Edu - Quỳnh Hương,5,51,2.0
Hiroyuki Yokoyama,1,51,0.0
"Mèo Maverick, Mark Manson",1,51,5.0
"Mèo Maverick, Tony Buổi Sáng",1,51,5.0
Nam Cao,6,51,1.6666666666666667
Nguyễn Hoàng Thanh Ly,3,51,1.6666666666666667
Abel Chong,7,50,1.4285714285714286
Lỗ Tấn,1,50,4.6
"Mẹ Ong Bông, Hachun Lyonnet, Bubu Hương",3,50,1.6666666666666667
"Nguyễn Như Mai, Nguyễn Hoàng Tấn",1,50,0.0
Nia Gould,1,50,0.0
Ryu Hanbin,2,50,2.25
Sousuke Toka,3,50,1.6666666666666667
Tanith Carey,1,50,5.0
Anne Rooney,2,49,2.5
Hàn Ni,1,49,4.8
"Hạo Nhiên , Nguyễn Hào",1,49,5.0
Jang Sehyun,1,49,5.0
Kyowon,10,49,2.0
"Sasaki Fumio,  Vãn Tình",1,49,5.0
"Shimada Tsuyoshi, GLOBIS",2,49,2.4
Yoko Maki,3,49,3.3333333333333335
Yoshiki Nakamura,1,49,5.0
Diêu Lan Phương,1,48,4.6
Emilie Dufresne,2,48,2.5
Mộc Cách,1,48,5.0
...,2,47,2.5
Doãn Kiến Lợi,6,47,0.75
Edmondo De Amicis,1,47,4.8
John Doerr,2,47,2.5
Karine Marie Amiot,1,47,5.0
Matthew Willcox,2,47,2.5
Sam Hutchinson,1,47,4.7
Satoru Onishi,2,47,5.0
Trần Lỗi & Cộng sự,1,47,5.0
Diane Tillman,1,46,4.8
